Name,Lat,Lng,Address,Features,Agoda,Slug
ステラおばさんのクッキー 阿倍野ごちそうビル店,34.6458570,135.5149847,〒545-0052 大阪府大阪市阿倍野区阿倍野筋１丁目１−６１,cafe | pastry shop | dessert restaurant | bakery | dessert shop | confectionery | Google rating 4.2,
hinata coffee,34.6733157,135.4834142,〒550-0014 大阪府大阪市西区北堀江４丁目１５−１３,cafe | food | point of interest | establishment | Google rating 4.5,
Caffè Astore カフェ アストーレ,34.6786670,135.5307170,〒540-0004 大阪府大阪市中央区玉造２丁目１−３,cafe | cocktail bar | coffee shop | dessert restaurant | bar | food store | Google rating 4.4,
自家焙煎 トヨクニコーヒー,34.7146704,135.5313364,〒534-0011 大阪府大阪市都島区高倉町１丁目１４−３ トヨクニハウスA棟1階,cafe | coffee shop | food store | food | point of interest | store | Google rating 4.5,
エルパティオ,34.7152440,135.5057840,〒531-0073 大阪府大阪市北区本庄西３丁目１−１１,cafe | food | point of interest | establishment | Google rating 3.9,
ベル,34.6771187,135.4707222,〒550-0027 大阪府大阪市西区九条３丁目４−１１ 喫茶ベル,cafe | point of interest | food | establishment | Google rating 4,
TEA ROOM サン,34.6569399,135.4428656,日本、〒552-0023 大阪府大阪市港区港晴１丁目１０,coffee shop | cafe | food store | food | point of interest | store | Google rating 3.6,
KISSA SEKAIYAN,34.6974097,135.5156315,〒530-0044 大阪府大阪市北区東天満２丁目５−５,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.9,
Studio&Café Make,34.6625248,135.4879076,〒556-0029 大阪府大阪市浪速区芦原１丁目２−６,live music venue | cafe | event venue | service | food | point of interest | Google rating 4.1,
DINGHY COFFEE in KOFUNE SAKE BREWERY,34.7067118,135.4891213,〒531-0076 大阪府大阪市北区大淀中１丁目７−１９,coffee shop | cafe | food store | food | point of interest | store | Google rating 4.8,
サンマルクカフェ 大阪安土町店,34.6849566,135.5034297,〒541-0051 大阪府大阪市中央区備後町３丁目２−１５ １F,cafe | food | point of interest | establishment | Google rating 3.6,
サバス,34.6722772,135.5206142,〒543-0001 大阪府大阪市天王寺区上本町３丁目５−２１ 小畑第２ビル,cafe | food | point of interest | establishment | Google rating 4,
スターバックス コーヒー 京都市役所店,35.0117180,135.7673760,〒604-0925 京都府京都市中京区寺町通御池上ル上本能寺前町４８８ 西庁舎 1階,cafe | coffee shop | food store | food | point of interest | store | Google rating 4.5,
京都 THE SHAKE,35.0036310,135.7708455,〒600-8011 京都府京都市下京区橋本町１１１ 四条アイブリ屋ビル 2階,cafe | food | point of interest | establishment,
salon de 1904,35.0207210,135.7559377,〒602-8041 京都府京都市上京区薮之内町１,cafe | coffee shop | point of interest | food store | food | store | Google rating 4.3,
喫茶 ウィークデイ,35.0294217,135.7788646,〒606-8225 京都府京都市左京区田中門前町３３−６,cafe | food | point of interest | establishment | Google rating 4.1,
茶房 前田,35.0152049,135.7480725,〒604-8301 京都府京都市中京区二条城町５４１,coffee shop | cafe | food store | store | food | point of interest | Google rating 4.1,
Okaffe Kyoto,35.0023024,135.7621503,〒600-8092 京都府京都市下京区神明町２３５−２,coffee shop | cafe | point of interest | food store | food | store | Google rating 4.5,
下鴨神社 さるや,35.0375668,135.7723595,〒606-0807 京都府京都市左京区下鴨泉川町５９ 下鴨神社境内,cafe | dessert shop | confectionery | food store | japanese restaurant | restaurant | Google rating 4.4,
coupe,35.0483820,135.7790073,〒606-0917 京都府京都市左京区松ケ崎堂ノ上町６−８,cafe | food | point of interest | establishment | Google rating 4.5,
マールブランシュ コンシェルジュルーム,35.0512686,135.7637068,〒603-8053 京都府京都市北区上賀茂岩ケ垣内町４１−４１ ４１B−LOCK−KITAYAMA,cafe | point of interest | food | establishment | Google rating 4.2,
Rico Cafe 京都,35.0092683,135.7433444,〒604-8412 京都府京都市中京区西ノ京南聖町１７−１７,korean restaurant | cafe | breakfast restaurant | restaurant | point of interest | food | Google rating 4.6,
ねこのて～cafe～,35.0275189,135.7899985,〒606-8417 京都府京都市左京区浄土寺西田町８８−１ 銀閣寺ハイム 1階,cafe | point of interest | food | establishment | Google rating 4.5,
カフェ かりん,35.0044601,135.7805601,〒605-0062 京都府京都市東山区林下町４００−２ 1F,cafe | food store | store | point of interest | food | establishment | Google rating 3.7,
和田屋cafe,35.0192104,135.7374925,"６, 38-24 西ノ京左馬寮町 中京区 京都市 京都府 604-8491",cafe | food | point of interest | establishment | Google rating 4.6,
自然カフェ六合,35.0405321,135.7486466,〒603-8214 京都府京都市北区紫野雲林院町18−１ 京都視力センタービル 1階,cafe | point of interest | food | establishment | Google rating 4.9,
カフェ 無門関,35.0122530,135.7912218,〒606-8437 京都府京都市左京区南禅寺草川町８１−８,cafe | point of interest | food | establishment | Google rating 4.1,
riverside café GREEN TERRACE,35.0235439,135.7965783,〒606-8421 京都府京都市左京区鹿ケ谷法然院町７２,cafe | coffee shop | dessert restaurant | tea house | dessert shop | brunch restaurant | Google rating 4.3,
